operation,ncores,nworkers,shape,chunks,nbytes,dtype,runtime
unfiltered_mean,3,1,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,1.9284942150115967
filtered_mean,3,1,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,86.08328533172607
unfiltered_mean,9,3,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,0.8061487674713135
filtered_mean,9,3,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,31.352030038833618
unfiltered_mean,18,6,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,0.5632379055023193
filtered_mean,18,6,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,19.720356702804565
unfiltered_mean,27,9,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,0.44196033477783203
filtered_mean,27,9,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,18.742255926132202
unfiltered_mean,36,12,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,0.4383409023284912
filtered_mean,36,12,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,15.171387195587158
unfiltered_mean,9,1,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,0.826082706451416
filtered_mean,9,1,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,33.627328872680664
unfiltered_mean,9,1,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,0.7017333507537842
filtered_mean,9,1,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,33.09433698654175
unfiltered_mean,18,2,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,0.49166274070739746
filtered_mean,18,2,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,19.829079627990723
unfiltered_mean,27,3,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,0.42240071296691895
filtered_mean,27,3,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,19.782854795455933
unfiltered_mean,36,4,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,0.42124128341674805
filtered_mean,36,4,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,15.231665849685669
unfiltered_mean,36,1,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,0.5275282859802246
filtered_mean,36,1,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,18.85293459892273
unfiltered_mean,36,1,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,0.42020511627197266
filtered_mean,36,1,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,18.07899785041809
