operation,ncores,nworkers,shape,chunks,nbytes,dtype,runtime
unfiltered_mean,1,1,"(40, 1024, 1024)","(10, 1024, 1024)",335544320,float64,0.7955951690673828
filtered_mean,1,1,"(40, 1024, 1024)","(10, 1024, 1024)",335544320,float64,27.680106163024902
unfiltered_mean,9,9,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,0.9977364540100098
filtered_mean,9,9,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,32.82800483703613
unfiltered_mean,18,18,"(720, 1024, 1024)","(10, 1024, 1024)",6039797760,float64,0.9961700439453125
filtered_mean,18,18,"(720, 1024, 1024)","(10, 1024, 1024)",6039797760,float64,38.219916343688965
unfiltered_mean,27,27,"(1080, 1024, 1024)","(10, 1024, 1024)",9059696640,float64,1.1004197597503662
filtered_mean,27,27,"(1080, 1024, 1024)","(10, 1024, 1024)",9059696640,float64,48.81108355522156
unfiltered_mean,36,36,"(1440, 1024, 1024)","(10, 1024, 1024)",12079595520,float64,1.23726487159729
filtered_mean,36,36,"(1440, 1024, 1024)","(10, 1024, 1024)",12079595520,float64,64.95585751533508
unfiltered_mean,3,1,"(120, 1024, 1024)","(10, 1024, 1024)",1006632960,float64,0.9294791221618652
filtered_mean,3,1,"(120, 1024, 1024)","(10, 1024, 1024)",1006632960,float64,30.821423768997192
unfiltered_mean,9,3,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,0.9176597595214844
filtered_mean,9,3,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,32.322107553482056
unfiltered_mean,18,6,"(720, 1024, 1024)","(10, 1024, 1024)",6039797760,float64,0.9916400909423828
filtered_mean,18,6,"(720, 1024, 1024)","(10, 1024, 1024)",6039797760,float64,37.024630069732666
unfiltered_mean,27,9,"(1080, 1024, 1024)","(10, 1024, 1024)",9059696640,float64,1.0594851970672607
filtered_mean,27,9,"(1080, 1024, 1024)","(10, 1024, 1024)",9059696640,float64,46.92827010154724
unfiltered_mean,36,12,"(1440, 1024, 1024)","(10, 1024, 1024)",12079595520,float64,1.4189438819885254
filtered_mean,36,12,"(1440, 1024, 1024)","(10, 1024, 1024)",12079595520,float64,62.965280532836914
unfiltered_mean,9,1,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,0.9791197776794434
filtered_mean,9,1,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,34.78307890892029
unfiltered_mean,9,1,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,0.6888325214385986
filtered_mean,9,1,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,33.798391342163086
unfiltered_mean,18,2,"(720, 1024, 1024)","(10, 1024, 1024)",6039797760,float64,1.4335331916809082
filtered_mean,18,2,"(720, 1024, 1024)","(10, 1024, 1024)",6039797760,float64,39.428722620010376
unfiltered_mean,27,3,"(1080, 1024, 1024)","(10, 1024, 1024)",9059696640,float64,1.085141658782959
filtered_mean,27,3,"(1080, 1024, 1024)","(10, 1024, 1024)",9059696640,float64,50.02138805389404
unfiltered_mean,36,4,"(1440, 1024, 1024)","(10, 1024, 1024)",12079595520,float64,1.3030509948730469
filtered_mean,36,4,"(1440, 1024, 1024)","(10, 1024, 1024)",12079595520,float64,63.301512241363525
