operation,ncores,nworkers,shape,chunks,nbytes,dtype,runtime
unfiltered_mean,2,1,"(40, 1024, 1024)","(2, 1024, 1024)",335544320,float64,0.5154099464416504
filtered_mean,2,1,"(40, 1024, 1024)","(2, 1024, 1024)",335544320,float64,17.958027839660645
unfiltered_mean,8,4,"(160, 1024, 1024)","(2, 1024, 1024)",1342177280,float64,7.902541875839233
filtered_mean,8,4,"(160, 1024, 1024)","(2, 1024, 1024)",1342177280,float64,25.111937761306763
unfiltered_mean,16,8,"(320, 1024, 1024)","(2, 1024, 1024)",2684354560,float64,8.220015525817871
filtered_mean,16,8,"(320, 1024, 1024)","(2, 1024, 1024)",2684354560,float64,24.828593015670776
unfiltered_mean,24,12,"(480, 1024, 1024)","(2, 1024, 1024)",4026531840,float64,7.515577793121338
filtered_mean,24,12,"(480, 1024, 1024)","(2, 1024, 1024)",4026531840,float64,22.944977521896362
unfiltered_mean,32,16,"(640, 1024, 1024)","(2, 1024, 1024)",5368709120,float64,7.452733039855957
filtered_mean,32,16,"(640, 1024, 1024)","(2, 1024, 1024)",5368709120,float64,24.823747873306274
unfiltered_mean,40,20,"(800, 1024, 1024)","(2, 1024, 1024)",6710886400,float64,7.48615026473999
filtered_mean,40,20,"(800, 1024, 1024)","(2, 1024, 1024)",6710886400,float64,25.138643503189087
