operation,ncores,nworkers,shape,chunks,nbytes,dtype,runtime
unfiltered_mean,2,1,"(20, 1024, 1024)","(1, 1024, 1024)",167772160,float64,0.30960607528686523
filtered_mean,2,1,"(20, 1024, 1024)","(1, 1024, 1024)",167772160,float64,6.189048767089844
unfiltered_mean,8,4,"(80, 1024, 1024)","(1, 1024, 1024)",671088640,float64,7.89752721786499
filtered_mean,8,4,"(80, 1024, 1024)","(1, 1024, 1024)",671088640,float64,13.964431285858154
unfiltered_mean,16,8,"(160, 1024, 1024)","(1, 1024, 1024)",1342177280,float64,7.7796056270599365
filtered_mean,16,8,"(160, 1024, 1024)","(1, 1024, 1024)",1342177280,float64,14.254787683486938
unfiltered_mean,24,12,"(240, 1024, 1024)","(1, 1024, 1024)",2013265920,float64,7.39623498916626
filtered_mean,24,12,"(240, 1024, 1024)","(1, 1024, 1024)",2013265920,float64,13.19910192489624
unfiltered_mean,32,16,"(320, 1024, 1024)","(1, 1024, 1024)",2684354560,float64,8.083126306533813
filtered_mean,32,16,"(320, 1024, 1024)","(1, 1024, 1024)",2684354560,float64,13.679615259170532
unfiltered_mean,40,20,"(400, 1024, 1024)","(1, 1024, 1024)",3355443200,float64,7.438434839248657
filtered_mean,40,20,"(400, 1024, 1024)","(1, 1024, 1024)",3355443200,float64,12.624637365341187
