operation,ncores,nworkers,shape,chunks,nbytes,dtype,runtime
unfiltered_mean,1,1,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,4.909759759902954
filtered_mean,1,1,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,243.72929525375366
unfiltered_mean,9,9,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,1.0477359294891357
filtered_mean,9,9,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,31.80343222618103
unfiltered_mean,18,18,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,0.8015782833099365
filtered_mean,18,18,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,20.036460638046265
unfiltered_mean,27,27,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,0.689340353012085
filtered_mean,27,27,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,21.442810773849487
unfiltered_mean,36,36,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,0.8433914184570312
filtered_mean,36,36,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,17.003984928131104
unfiltered_mean,3,1,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,1.9717326164245605
filtered_mean,3,1,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,88.66051173210144
unfiltered_mean,9,3,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,0.9250731468200684
filtered_mean,9,3,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,32.29037165641785
unfiltered_mean,18,6,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,0.6641802787780762
filtered_mean,18,6,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,19.1940336227417
unfiltered_mean,27,9,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,0.6153252124786377
filtered_mean,27,9,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,18.871175050735474
unfiltered_mean,36,12,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,0.5687260627746582
filtered_mean,36,12,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,16.45499563217163
unfiltered_mean,9,1,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,0.9628341197967529
filtered_mean,9,1,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,34.70297360420227
unfiltered_mean,9,1,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,0.679466962814331
filtered_mean,9,1,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,33.65955448150635
unfiltered_mean,18,2,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,0.6212587356567383
filtered_mean,18,2,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,20.4041907787323
unfiltered_mean,27,3,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,0.7096824645996094
filtered_mean,27,3,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,19.69445776939392
unfiltered_mean,36,4,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,0.6203672885894775
filtered_mean,36,4,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,16.567444801330566
